Macrotrends Data Download

1 Year Treasury Rate - 54 Year Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1962-01-02,3.2200
1962-01-03,3.2400
1962-01-04,3.2400
1962-01-05,3.2600
1962-01-08,3.3100
1962-01-09,3.3200
1962-01-10,3.3300
1962-01-11,3.3300
1962-01-12,3.3000
1962-01-15,3.3200
1962-01-16,3.3000
1962-01-17,3.3000
1962-01-18,3.2700
1962-01-19,3.2700
1962-01-22,3.2500
1962-01-23,3.2500
1962-01-24,3.2400
1962-01-25,3.2700
1962-01-26,3.2800
1962-01-29,3.2800
1962-01-30,3.2800
1962-01-31,3.2900
1962-02-01,3.3000
1962-02-02,3.3000
1962-02-05,3.2900
1962-02-06,3.2900
1962-02-07,3.2900
1962-02-08,3.3000
1962-02-09,3.2800
1962-02-13,3.2800
1962-02-14,3.3100
1962-02-15,3.3300
1962-02-16,3.3300
1962-02-19,3.3200
1962-02-20,3.3100
1962-02-21,3.2800
1962-02-23,3.2400
1962-02-26,3.2200
1962-02-27,3.2300
1962-02-28,3.2100
1962-03-01,3.1500
1962-03-02,3.1700
1962-03-05,3.1800
1962-03-06,3.1800
1962-03-07,3.1400
1962-03-08,3.1100
1962-03-09,3.1200
1962-03-12,3.1300
1962-03-13,3.1100
1962-03-14,3.1000
1962-03-15,3.1000
1962-03-16,3.0600
1962-03-19,3.0300
1962-03-20,3.0200
1962-03-21,3.0100
1962-03-22,2.9400
1962-03-23,2.9400
1962-03-26,2.9500
1962-03-27,2.9500
1962-03-28,2.9600
1962-03-29,2.9600
1962-03-30,2.9700
1962-04-02,2.9500
1962-04-03,2.9300
1962-04-04,2.8800
